RadioRA 2 Integration Report

Device Room, Device Location, Device name, Model, ID, Component, Component Number, Name
Shop, Yard-ShopPorch, 26
LhsBath, LhsBath-Shower, 27
RhsHall, RhsHall-Cans, 28
Main, Main-FoyerCans, 31
Main, Main-LivRmLamps, 33
Den, Den-KitchenTable, 34
Office, Office-LeftTableLamp, 35
LhsBdrm, LhsBdrm-TableLamps, 36
Main, Main-ArtNiche, 37
Den, Lanai-Pendants, 39
RhsHall, NA-RhsHallCloset, 42
Den, Den-HallCans, 43
LhsBdrm, LhsBdrm-FloorLamp, 45
PrimBath, PrimBath-Soffit, 47
PrimBath, PrimBath-Cans, 51
PrimBath, PrimBath-TubAndShower, 52
PrimBath, Hers-CeilingLight, 53
Den, Lanai-Pool, 54
PrimBath, His-CeilingLight, 56
Den, DenLamp-Dimmer, 59
Den, Kitchen-Cans, 61
Den, Den-DenCans, 62
Den, Den-BevStation, 63
Den, Den-UplightLeds, 64
Den, Kitchen-CounterLeds, 65
Den, NA-PantryLedFixture, 67
Main, Lanai-LedUplighting, 68
Den, Yard-Spots, 71
LhsBath, LhsBath-Soffit, 74
LhsHall, Yard-BackPorch, 75
LhsHall, Guest-LhsHallCans, 76
Control, VCRX Output 3, 77
RhsBath, RhsBath-Shower, 78
RhsBath, RhsBath-Vanity, 79
Control, VCRX Output 4, 81
Gym, NA-BackOutlet, 90

Timeclock, ID, Event, Event Index

Project Timeclock, 25
, , Activate Sensors,1

Green Mode, ID, Mode Name, Step Number

Green Button Mode, 24
, , Off, 1
, , Green Mode, 2
, , Green20%, 3
, , Green40%, 4
, , Green60%, 5
, , Green80%, 6
, , Green100%, 7
